experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,egg_turning_on,target_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,last_turner_change_timestamp,front_switch,rear_switch,near_switch,far_switch,exhaust_on,humidifyer_on,heater_on,fan_on
1744988286.1619802,20,1745060853.7825036,37.5,0.2915,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745060873.0881464,1745060706.6568408,0,0.99969,0.99747,0.99969,0.99747,False,True,1,False
1744988286.1619802,20,1745060873.8366451,37.49,0.2913,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745060893.8219624,1745060887.017174,0,0.99973,0.99753,0.99973,0.99753,False,True,1,False
1744988286.1619802,20,1745060894.2026377,37.52,0.2914,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745060914.187295,1745060887.017174,0,0.99973,0.9975,0.99973,0.9975,False,1,0,False
1744988286.1619802,20,1745060914.2472486,37.52,0.2912,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745060934.1973214,1745060887.017174,0,0.99973,0.99753,0.99973,0.99753,False,1,0,False
1744988286.1619802,20,1745060934.2640343,37.55,0.2911,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745060954.2217755,1745060887.017174,0,0.99973,0.99753,0.99973,0.99753,False,1,0,False
1744988286.1619802,20,1745060954.2881253,37.55,0.29050000000000004,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745060974.2359025,1745060887.017174,0,0.99973,0.99753,0.99973,0.99753,False,1,0,False
1744988286.1619802,20,1745060974.3059978,37.55,0.2902,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745060994.2493823,1745060887.017174,0,0.99973,0.99753,0.99973,0.99753,False,1,0,False
1744988286.1619802,20,1745060994.3181763,37.55,0.2902,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745061014.3159435,1745060887.017174,0,0.99969,0.9975,0.99969,0.9975,False,1,0,False
1744988286.1619802,20,1745061014.381389,37.58,0.2896,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745061034.3621354,1745060887.017174,0,0.99976,0.99753,0.99976,0.99753,False,1,0,False
1744988286.1619802,20,1745061034.430726,37.59,0.28940000000000005,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745061054.4227676,1745060887.017174,0,0.99969,0.9975,0.99969,0.9975,False,1,0,False
1744988286.1619802,20,1745061054.4883678,37.57,0.289,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745061074.477032,1745061067.0575402,0,0.99979,0.99753,0.99979,0.99753,False,1,0,False
1744988286.1619802,20,1745061074.5437179,37.55,0.2889,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745061094.5313213,1745061067.0575402,0,0.99963,0.9975,0.99963,0.9975,False,1,0,False
1744988286.1619802,20,1745061094.601065,37.56,0.28850000000000003,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745061114.5921953,1745061067.0575402,0,0.99976,0.99753,0.99976,0.99753,False,1,0,False
1744988286.1619802,20,1745061114.661917,37.48,0.2561,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745061134.3267157,1745061067.0575402,0,0.99966,0.99747,0.99966,0.99747,False,True,1,False
1744988286.1619802,20,1745061134.7044523,37.25,0.2487,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745061154.3828542,1745061067.0575402,0,0.99976,0.99753,0.99976,0.99753,False,True,1,False
1744988286.1619802,20,1745061154.762474,36.81,0.2464,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745061174.4281814,1745061067.0575402,0,0.99963,0.99744,0.99963,0.99744,False,True,1,False
1744988286.1619802,20,1745061174.8054621,36.43,0.29059999999999997,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745061194.4796925,1745061067.0575402,0,0.99976,0.99747,0.99976,0.99747,False,True,1,False
1744988286.1619802,20,1745061194.8568912,36.05,0.3577,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745061214.5290325,1745061067.0575402,0,0.99963,0.99738,0.99963,0.99738,False,True,1,False
1744988286.1619802,20,1745061214.909901,35.87,0.41700000000000004,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745061234.5712078,1745061067.0575402,0,0.99979,0.99744,0.99979,0.99744,False,True,1,False
1744988286.1619802,20,1745061234.9504735,35.71,0.4682,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745061254.631399,1745061247.196933,0,0.99963,0.99725,0.99963,0.99725,False,True,1,False
1744988286.1619802,20,1745061255.008467,35.63,0.5104,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745061274.6837323,1745061247.196933,0,0.99979,0.99725,0.99979,0.99725,False,True,1,False
1744988286.1619802,20,1745061275.0629208,35.56,0.5478000000000001,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745061294.735892,1745061247.196933,0,0.99963,0.99701,0.99963,0.99701,False,True,1,False
1744988286.1619802,20,1745061295.1182182,35.51,0.5763,False,37.5,38,1.9,0.006,0.0,0.8,0.03,2,1745061314.7638826,1745061247.196933,0,0.99982,0.99683,0.99982,0.99683,False,True,1,False
